value;dimension;domain;variable;depth;datetime;location;experiment;fertilizer_tr;variety_tr;plantdensity_tr;plantingdate_tr;soilmanagement_tr;plantprotection_tr;repetition;
6015;kg/ha;maize;grainyield;0;2004-11-04 12:00;MV;planting_date;1;1;NA;1;NA;NA;4;
6794;kg/ha;maize;grainyield;0;2005-11-18 12:00;MV;planting_date;1;1;NA;1;NA;NA;1;
6097;kg/ha;maize;grainyield;0;2005-11-18 12:00;MV;planting_date;1;1;NA;1;NA;NA;2;
7150;kg/ha;maize;grainyield;0;2005-11-18 12:00;MV;planting_date;1;1;NA;1;NA;NA;3;
7887;kg/ha;maize;grainyield;0;2005-11-18 12:00;MV;planting_date;1;1;NA;1;NA;NA;4;
10427;kg/ha;maize;grainyield;0;2006-11-07 12:00;MV;planting_date;1;1;NA;1;NA;NA;1;
6370;kg/ha;maize;grainyield;0;2006-11-07 12:00;MV;planting_date;1;1;NA;1;NA;NA;2;
9183;kg/ha;maize;grainyield;0;2006-11-07 12:00;MV;planting_date;1;1;NA;1;NA;NA;3;
7402;kg/ha;maize;grainyield;0;2006-11-07 12:00;MV;planting_date;1;1;NA;1;NA;NA;4;
3921;kg/ha;maize;grainyield;0;2007-11-12 12:00;MV;planting_date;1;1;NA;1;NA;NA;1;
3101;kg/ha;maize;grainyield;0;2007-11-12 12:00;MV;planting_date;1;1;NA;1;NA;NA;2;
4266;kg/ha;maize;grainyield;0;2007-11-12 12:00;MV;planting_date;1;1;NA;1;NA;NA;3;
5151;kg/ha;maize;grainyield;0;2007-11-12 12:00;MV;planting_date;1;1;NA;1;NA;NA;4;
9826;kg/ha;maize;grainyield;0;2008-11-10 12:00;MV;planting_date;1;1;NA;1;NA;NA;1;
7839;kg/ha;maize;grainyield;0;2008-11-10 12:00;MV;planting_date;1;1;NA;1;NA;NA;2;
8157;kg/ha;maize;grainyield;0;2008-11-10 12:00;MV;planting_date;1;1;NA;1;NA;NA;3;
9020;kg/ha;maize;grainyield;0;2008-11-10 12:00;MV;planting_date;1;1;NA;1;NA;NA;4;
4222;kg/ha;maize;grainyield;0;2009-10-30 12:00;MV;planting_date;1;1;NA;1;NA;NA;1;
4049;kg/ha;maize;grainyield;0;2009-10-30 12:00;MV;planting_date;1;1;NA;1;NA;NA;2;
5132;kg/ha;maize;grainyield;0;2009-10-30 12:00;MV;planting_date;1;1;NA;1;NA;NA;3;
4707;kg/ha;maize;grainyield;0;2009-10-30 12:00;MV;planting_date;1;1;NA;1;NA;NA;4;
6484;kg/ha;maize;grainyield;0;2010-11-17 12:00;MV;planting_date;1;1;NA;1;NA;NA;1;
3227;kg/ha;maize;grainyield;0;2010-11-17 12:00;MV;planting_date;1;1;NA;1;NA;NA;2;
6116;kg/ha;maize;grainyield;0;2010-11-17 12:00;MV;planting_date;1;1;NA;1;NA;NA;3;
6281;kg/ha;maize;grainyield;0;2010-11-17 12:00;MV;planting_date;1;1;NA;1;NA;NA;4;
