value,dimension,domain,parameter,depth,datetime,experiment,treatment,repetition,equipment,person/logger
9465,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F01|V04,3,,
9729,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F01|V05,3,,
6050,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F02|V01,3,,
6985,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F02|V02,3,,
8989,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F02|V03,3,,
8629,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F02|V04,3,,
10434,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F02|V05,3,,
6141,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F03|V01,3,,
7623,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F03|V02,3,,
8867,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F03|V03,3,,
8670,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F03|V04,3,,
9111,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F03|V05,3,,
5392,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F04|V01,3,,
7575,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F04|V02,3,,
9015,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F04|V03,3,,
9246,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F04|V04,3,,
8809,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F04|V05,3,,
7151,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F05|V01,3,,
6839,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F05|V02,3,,
9049,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F05|V03,3,,
6759,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F05|V04,3,,
7356,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F05|V05,3,,
6157,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F01|V01,4,,
7078,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F01|V02,4,,
11423,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F01|V03,4,,
9110,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F01|V04,4,,
9450,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F01|V05,4,,
5323,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F02|V01,4,,
6481,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F02|V02,4,,
10185,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F02|V03,4,,
8357,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F02|V04,4,,
8986,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F02|V05,4,,
6220,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F03|V01,4,,
6453,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F03|V02,4,,
10453,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F03|V03,4,,
8030,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F03|V04,4,,
8174,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F03|V05,4,,
6299,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F04|V01,4,,
7739,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F04|V02,4,,
10857,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F04|V03,4,,
9455,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F04|V04,4,,
8860,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F04|V05,4,,
7580,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F05|V01,4,,
8529,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F05|V02,4,,
11276,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F05|V03,4,,
10509,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F05|V04,4,,
9997,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T01|F05|V05,4,,
6811,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F01|V01,1,,
7381,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F01|V02,1,,
8916,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F01|V03,1,,
9220,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F01|V04,1,,
7854,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F01|V05,1,,
6868,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F02|V01,1,,
7102,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F02|V02,1,,
9292,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F02|V03,1,,
8444,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F02|V04,1,,
10324,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F02|V05,1,,
6781,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F03|V01,1,,
6517,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F03|V02,1,,
8467,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F03|V03,1,,
8478,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F03|V04,1,,
10620,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F03|V05,1,,
6925,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F04|V01,1,,
6919,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F04|V02,1,,
8702,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F04|V03,1,,
9014,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F04|V04,1,,
10788,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F04|V05,1,,
7096,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F05|V01,1,,
7161,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F05|V02,1,,
8835,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F05|V03,1,,
8872,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F05|V04,1,,
10568,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F05|V05,1,,
6861,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F01|V01,2,,
7933,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F01|V02,2,,
9032,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F01|V03,2,,
10147,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F01|V04,2,,
8108,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F01|V05,2,,
6734,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F02|V01,2,,
7233,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F02|V02,2,,
9423,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F02|V03,2,,
8838,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F02|V04,2,,
8006,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F02|V05,2,,
6495,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F03|V01,2,,
7491,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F03|V02,2,,
9029,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F03|V03,2,,
9002,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F03|V04,2,,
8648,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F03|V05,2,,
5959,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F04|V01,2,,
8301,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F04|V02,2,,
8107,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F04|V03,2,,
8331,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F04|V04,2,,
8861,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F04|V05,2,,
6417,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F05|V01,2,,
7396,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F05|V02,2,,
8916,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F05|V03,2,,
7915,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F05|V04,2,,
7597,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F05|V05,2,,
5995,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F01|V01,3,,
6923,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T02|F01|V02,3,,
