"","x"
"640",39
"641",43
"642",42
"643",39
"644",42
"645",40
"646",35
"647",32
"648",30
"649",27
"650",22
"651",19
"652",19
"653",22
"654",26
"655",25
"656",21
"657",21
"658",18
"659",15
"660",21
"661",22
"662",19
"663",20
"664",16
"665",13
"666",15
"667",13
"668",12
"669",12
"670",14
"671",16
"672",19
"673",18
"674",19
"675",21
"676",19
"677",14
"678",8
"679",8
"680",9
"681",12
"682",22
"683",22
"684",18
"685",24
"686",20
"687",35
"688",42
"689",42
"690",50
"691",41
"692",41
"693",44
"694",35
"695",39
"696",37
"697",38
"698",37
"699",34
"700",31
"701",28
"702",26
"703",15
"704",8
"705",7
"706",12
"707",16
"708",23
"709",22
"710",18
"711",21
"712",29
"713",28
"714",33
"715",25
"716",18
"717",20
"718",16
"719",18
"720",14
"721",12
"722",11
"723",14
"724",12
"725",14
"726",18
"727",21
"728",21
"729",21
"730",14
"731",10
"732",7
"733",7
"734",9
"735",14
"736",16
"737",24
"738",23
"739",19
"740",29
"741",36
"742",32
"743",34
"744",38
"745",42
"746",44
"747",41
"748",42
"749",35
"750",35
"751",33
"752",31
"753",28
"754",27
"755",25
"756",23
"757",16
"758",4
"759",3
"760",5
"761",5
"762",27
"763",23
"764",21
"765",23
"766",24
"767",30
"768",34
"769",30
"770",21
"771",18
"772",20
"773",16
"774",15
"775",13
"776",12
"777",15
"778",15
"779",15
"780",19
"781",19
"782",21
"783",19
"784",16
"785",14
"786",13
"787",9
"788",11
"789",14
"790",24
"791",27
"792",27
"793",23
"794",36
"795",43
"796",30
"797",26
"798",28
"799",37
"800",40
"801",44
"802",40
"803",38
"804",31
"805",29
"806",27
"807",25
"808",25
"809",23
"810",21
"811",11
"812",6
"813",4
"814",4
"815",3
"816",4
"817",21
"818",24
"819",27
"820",18
"821",27
"822",27
"823",25
"824",23
"825",21
"826",17
"827",11
"828",11
"829",11
"830",10
"831",13
"832",18
"833",17
"834",17
"835",17
"836",18
"837",13
"838",17
"839",16
"840",15
"841",13
"842",20
"843",22
"844",27
"845",30
"846",27
"847",29
"848",33
"849",34
"850",39
"851",36
"852",21
"853",37
"854",39
"855",38
"856",35
"857",32
"858",30
"859",26
"860",25
"861",25
"862",25
"863",23
"864",23
"865",9
"866",6
"867",4
"868",3
"869",3
"870",4
"871",5
"872",21
"873",25
"874",22
"875",24
"876",20
"877",20
"878",16
"879",19
"880",22
"881",23
"882",24
"883",22
"884",21
"885",21
"886",28
"887",25
"888",31
"889",34
"890",31
"891",35
"892",37
"893",32
"894",39
"895",41
"896",35
"897",37
"898",31
"899",26
"900",24
"901",28
"902",30
"903",28
"904",25
"905",22
"906",10
"907",11
"908",6
"909",5
"910",5
"911",5
"912",6
"913",8
"914",21
"915",34
"916",21
"917",20
