"","x"
"401",9186.03
"402",9161.24
"403",9277.83
"404",9326.65
"405",9608.15
"406",9358.17
"407",9316.44
"408",9110.9
"409",9510.38
"410",9195.3
"411",9371.04
"412",9396.82
"413",9449.1
"414",9382.26
"415",9394.88
"416",9348.02
"417",9464.73
"418",9237.36
"419",9430.06
"420",9408.29
"421",9418.22
"422",9279.17
"423",9641.64
"424",9104.67
"425",9115.47
"426",9205.14
"427",9181.57
"428",9168.72
"429",9112.33
"430",9091.74
"431",9002.18
"432",8879.43
"433",8716.78
"434",8952.29
"435",8871.93
"436",8807.88
"437",8819.4
"438",8961.49
"439",9113.8
"440",9855.59
"441",9802.54
"442",9681.21
"443",9632.45
"444",9020.31
"445",9347.51
"446",9190.59
"447",9187.71
"448",9198.43
"449",9048.87
"450",7945.25
"451",8170.12
"452",8466.03
"453",8300.81
"454",8154.04
"455",8378.96
"456",9158.61
"457",9240.08
"458",9356.13
"459",9622.91
"460",9183.85
"461",9132.32
"462",9288.83
"463",9319.06
"464",9382.39
"465",9369.52
"466",9405.42
"467",9323.9
"468",9425.92
"469",9234.58
"470",9394.52
"471",9398.09
"472",9339.11
"473",9542.12
"474",9262.78
"475",9225.64
"476",9261.01
"477",9119.46
"478",8906.87
"479",8990.18
"480",9179.86
"481",9118.87
"482",9148.02
"483",8950.3
"484",8858.78
"485",8801.53
"486",8954.3
"487",9097.83
"488",8943.76
"489",9011.97
"490",8950.01
"491",8917.8
"492",9040.83
"493",9225.58
"494",9876.81
"495",9693.9
"496",8643.81
"497",9406.73
"498",9169.03
"499",9086.39
"500",8097.73
"501",9009.46
"502",8280.05
"503",8486.07
"504",7785.59
"505",8428.55
"506",8549.68
"507",9326.99
"508",9499.25
"509",9543.36
"510",9649.83
"511",9281.44
"512",9212.14
"513",9450.26
"514",9289.11
"515",9300.32
"516",9078.59
"517",9405.46
"518",9425.03
"519",9233.49
"520",9405.7
"521",9234.7
"522",9435.54
"523",9391.49
"524",9375.61
"525",9362.84
"526",9519.27
"527",9509.58
"528",9418.81
"529",9166.26
"530",9047.26
"531",9009.86
"532",9054.73
"533",9190.11
"534",9118
"535",8845.96
"536",8776.88
"537",9112.21
"538",8941.98
"539",8973.94
"540",8973.45
"541",8932.94
"542",8783.75
"543",8884.11
"544",8868.65
"545",9211.1
"546",9198.66
"547",9006.75
"548",9755.46
"549",9545.33
"550",8776.15
"551",9368.9
"552",8311.23
"553",9002.93
"554",8862.35
"555",8261.62
"556",8543.18
"557",8397.08
"558",8571.25
"559",8676.58
"560",8321.1
"561",8079.55
"562",9621.93
"563",9487.67
"564",8815.81
"565",9595.01
"566",9401.73
"567",9620.94
"568",9374.27
"569",9207.07
"570",9166.09
"571",9411.68
"572",9200.22
"573",9198.96
"574",9214.6
"575",9473.09
"576",9587.46
"577",9797.05
"578",9715.82
"579",9748.48
"580",9707.28
"581",9321.8
"582",9153.29
"583",9072.69
"584",9031.48
"585",9038.83
"586",9045.15
"587",8952.93
"588",8926
"589",8869.64
"590",8878.4
"591",9204.83
"592",8434.37
"593",9060.03
"594",8961.33
"595",8966.33
"596",8897.74
"597",8852.49
"598",8790.17
"599",9030.98
"600",9214.77
"601",8990.85
"602",9525.23
"603",9493.81
"604",9353.03
"605",8541.91
"606",8987.99
"607",8046.03
"608",8680.64
"609",8770.3
"610",8368.33
"611",8666.45
"612",8222.77
"613",8761.01
"614",8835.39
"615",8857.52
"616",9507.56
"617",9754.67
"618",9154.79
"619",9697.63
"620",9927.38
"621",9660.59
"622",9446.43
"623",9218.76
"624",8933.12
"625",8966.29
"626",9098.84
"627",8981.54
"628",9338.81
"629",9741.19
"630",9844.77
"631",9943.46
"632",9817.09
"633",9777.9
"634",9623.48
"635",9421.82
"636",9237.28
"637",9120.17
"638",9162.59
"639",9103.37
"640",9084.52
"641",8969.35
"642",8964.27
"643",8797.64
"644",9240.72
"645",9139.16
"646",8665.15
"647",8744.02
"648",9159.19
"649",9189.88
"650",8975.03
"651",8464.47
"652",8749.04
"653",8907.56
"654",9628.26
"655",9660.85
"656",9396.2
"657",9300.12
"658",9090.49
"659",8250.62
"660",8811.44
"661",8601.57
"662",8592.87
"663",8940.66
"664",9029.24
"665",8766.73
"666",8722.19
"667",8920.77
"668",8720.43
"669",8768.38
"670",8846.01
"671",8647.14
"672",9215.44
"673",9913.4
"674",9897.58
"675",9739.98
"676",9598.3
"677",9079.11
"678",8962.16
"679",9059.69
"680",9280.47
"681",9511.91
"682",9833.16
"683",9911.22
"684",9754.88
"685",9831.7
"686",9679.74
"687",9650.92
"688",9505.12
"689",9340.69
"690",9354.97
"691",9192.91
"692",9191.49
"693",9134.35
"694",9224.65
"695",9434.92
"696",9321.68
"697",9582.96
"698",9145.41
"699",9203.19
"700",9138.69
"701",9456.91
"702",9531.55
"703",9502.15
"704",9142.51
"705",8979.74
"706",8971.07
"707",9266.38
"708",9527.4
"709",9546.03
"710",9443.14
"711",8987.93
"712",8904.36
"713",8799.2
"714",8631.99
"715",8662.47
"716",8608.74
"717",8879.2
"718",8613.5
"719",8691.13
"720",9295.66
"721",9390.86
"722",8789.92
"723",9525.12
"724",9600.91
"725",9111.77
"726",8954.51
"727",9007.69
"728",9715.69
"729",8958.24
"730",8790.79
"731",8340.46
"732",9032.4
"733",9138.15
"734",9326.71
"735",8681.27
"736",9208.78
"737",9846.21
"738",9624.73
"739",9547.61
"740",9578.07
"741",9535.27
"742",9615.92
"743",9477.85
"744",8613.55
"745",9317.08
"746",9262.5
"747",9285.34
"748",9125.3
"749",9236.79
"750",9179.03
"751",9320.35
"752",9258.46
"753",8536.23
"754",9272.94
"755",9544.35
"756",9711.01
"757",9528.13
"758",9142.88
"759",8989.24
"760",9121.39
"761",9090.02
"762",9582.66
"763",9090.41
"764",9125.81
"765",8342.9
"766",8183.15
"767",8105.29
"768",8645.68
"769",8710.05
"770",8656.39
"771",8679.89
"772",8890.78
"773",8973.27
"774",9060.33
"775",9167.05
"776",9242.71
"777",9642.3
"778",9649.36
"779",8911.6
"780",9074.75
"781",8853.36
"782",8761.84
"783",8654.4
"784",8754.54
"785",8610.18
"786",9063.04
"787",9123.68
"788",8601.91
