"","x"
"473",15.91
"474",NA
"475",NA
"476",NA
"477",NA
"478",NA
"479",NA
"480",15.09
"481",15.5
"482",15.67
"483",NA
"484",NA
"485",NA
"486",NA
"487",15.33
"488",NA
"489",15.25
"490",15.91
"491",16.43
"492",17.33
"493",17.58
"494",17.2
"495",16.88
"496",16.53
"497",16.75
"498",16.33
"499",15.58
"500",NA
"501",16.33
"502",15.83
"503",17.75
"504",17.79
"505",17.87
"506",17.83
"507",17.1
"508",16.63
"509",17.2
"510",17.63
"511",16.18
"512",16.38
"513",17.08
"514",16.22
"515",16.9
"516",16.4
"517",17.28
"518",17.25
"519",15.12
"520",NA
"521",NA
"522",NA
"523",NA
"524",NA
"525",NA
"526",15.92
"527",16.25
"528",NA
"529",15.27
"530",NA
"531",NA
"532",15.91
"533",NA
"534",NA
"535",NA
"536",NA
"537",15.25
"538",NA
"539",15.25
"540",15.25
"541",15.25
"542",NA
"543",16.63
"544",15.95
"545",17.18
"546",17.13
"547",16.68
"548",17.63
"549",16.95
"550",16.71
"551",18.04
"552",15.43
"553",NA
"554",NA
"555",15.83
"556",17.29
"557",17.7
"558",18.03
"559",17.53
"560",17.58
"561",18.7
"562",17.43
"563",17.4
"564",16.88
"565",17.13
"566",17.18
"567",18.13
"568",17.7
"569",17.2
"570",17.05
"571",16.45
"572",NA
"573",NA
"574",NA
"575",NA
"576",NA
"577",16.17
"578",NA
"579",15.98
"580",16.28
"581",15.2
"582",NA
"583",15.08
"584",NA
"585",NA
"586",15.25
"587",NA
"588",NA
"589",NA
"590",NA
"591",NA
"592",15.25
"593",15.16
"594",NA
"595",16.28
"596",16.97
"597",17
"598",16.1
"599",16.43
"600",17.43
"601",17.33
"602",16.46
"603",16.31
"604",16.28
"605",15.3
"606",15.63
"607",15.25
"608",15.33
"609",15.58
"610",16.53
"611",18.3
"612",17.58
"613",17.28
"614",17.43
"615",17.48
"616",17.11
"617",16.78
"618",16.53
"619",16.93
"620",17.6
"621",18.23
"622",17.35
"623",16.8
"624",NA
"625",15.75
"626",NA
"627",NA
"628",NA
"629",15.5
"630",16.55
"631",17.53
"632",15.85
"633",15.5
"634",16.5
"635",NA
"636",NA
"637",NA
"638",NA
"639",15.33
"640",15.08
"641",NA
"642",NA
"643",NA
"644",NA
"645",15.25
"646",15.75
"647",16.25
"648",17.85
"649",18.42
"650",16.35
"651",16.18
"652",16.08
"653",18.01
"654",16.86
"655",17
"656",16.58
"657",15.93
"658",15.88
"659",16
"660",16.05
"661",15.83
"662",15.43
"663",16.55
"664",16.4
"665",16.08
"666",16.33
"667",15.41
"668",15.58
"669",16.08
"670",17.08
"671",16.93
"672",16.88
"673",17.3
"674",16.98
"675",17.06
"676",17.23
"677",16.35
"678",15.5
"679",15.75
"680",NA
"681",15.58
"682",15.96
"683",16.16
"684",16
"685",15.55
"686",15.75
"687",15.75
"688",NA
"689",NA
"690",15.5
"691",NA
"692",16
"693",NA
"694",NA
"695",15.83
"696",15.25
"697",17.83
"698",15.33
"699",15.75
"700",16.25
"701",18.92
"702",17.85
"703",16.03
"704",NA
"705",15.5
"706",15.34
"707",15.8
"708",17.13
"709",16.6
"710",17.37
"711",16.48
"712",15.61
"713",16.66
"714",16.4
"715",15.14
"716",16.97
"717",16.63
"718",16.63
"719",16.53
"720",15.34
"721",15.58
"722",16.08
"723",16.25
"724",15.42
"725",16.43
"726",17.33
"727",16.83
"728",17.83
"729",17.35
"730",17.43
"731",17
"732",16.25
"733",16
"734",15.33
"735",16
"736",16.58
"737",15.93
"738",15.48
"739",16
"740",17.07
"741",15.5
"742",17.15
"743",15.83
"744",15.33
"745",NA
"746",NA
"747",15.33
"748",NA
"749",15.5
"750",NA
"751",17.3
"752",17.3
"753",NA
"754",17
"755",16.58
"756",18.25
"757",16.45
"758",NA
"759",NA
"760",NA
"761",NA
"762",16.23
"763",16.35
"764",17.12
"765",17.2
"766",16.18
"767",16.23
"768",16.03
"769",16.68
"770",16.12
"771",15.73
"772",16.08
"773",16.08
"774",16.48
"775",16.35
"776",16.35
"777",16.9
"778",16.6
"779",16.78
"780",17.38
"781",16.96
"782",17.4
"783",16.76
"784",17.5
"785",16.01
"786",16.33
"787",15.58
"788",16
"789",17
"790",16.03
"791",16.53
"792",16.5
"793",15.55
"794",15.33
"795",16
"796",16.7
"797",15.68
"798",15.48
"799",15.59
"800",16.25
"801",15.34
"802",NA
"803",NA
"804",18.07
"805",15.99
"806",17.7
"807",15.66
"808",15.08
"809",17.08
"810",18.35
"811",NA
"812",NA
"813",NA
"814",NA
"815",NA
"816",NA
"817",18.5
"818",16.43
"819",19.42
"820",17.33
"821",17.2
"822",17.25
"823",17.75
"824",17.3
"825",16.73
"826",15.9
"827",16
"828",16.08
"829",16.08
"830",15.58
"831",16.45
"832",16.55
"833",16.88
"834",17.13
"835",15.78
"836",15.88
"837",17.35
"838",19.2
"839",19.15
"840",17.27
"841",15.58
"842",16.16
"843",16.13
"844",17.4
"845",17.32
"846",16.08
"847",16.58
"848",16.35
"849",16.63
"850",15.91
"851",16.25
"852",16.45
"853",15.08
"854",16.25
"855",15.33
"856",NA
"857",16.23
"858",16.13
"859",16.92
"860",17.18
"861",15.91
"862",16.33
"863",16.83
"864",19.2
"865",NA
"866",NA
"867",NA
"868",NA
"869",NA
"870",NA
"871",NA
"872",17.15
"873",17.6
"874",19.42
"875",17.85
"876",17.21
"877",17.13
"878",17.8
"879",18.1
"880",18.67
"881",16.93
"882",16.9
"883",17.18
"884",17.98
"885",17.78
"886",16.34
"887",16.46
"888",16.33
"889",17
"890",16.63
"891",15.58
"892",15.67
"893",16.18
"894",15.33
"895",15.5
"896",16.42
"897",15.25
"898",17.05
"899",16.53
"900",17.78
"901",17.45
"902",16.25
"903",18.33
"904",16.25
"905",17.85
"906",16.33
"907",NA
"908",NA
"909",NA
"910",NA
"911",NA
"912",NA
"913",15
"914",16.19
"915",16.8
"916",17.7
"917",17.6
"918",18.06
"919",16.28
"920",18.65
"921",18.28
"922",16.49
"923",16.53
"924",17.93
"925",18.63
"926",18.35
"927",16.38
"928",16.47
"929",19.4
"930",19.87
"931",18
"932",17.01
"933",16.43
"934",17.03
"935",16.83
"936",16.98
"937",16.57
"938",16.3
"939",17.05
"940",17.2
"941",17.5
"942",16.8
"943",NA
"944",16.58
"945",17.7
"946",18.15
"947",15.59
"948",NA
"949",15.34
"950",NA
"951",NA
"952",NA
"953",NA
"954",15.09
"955",18.12
"956",17.08
"957",16.41
"958",17.03
"959",16.88
"960",17.76
"961",19.13
"962",19.2
"963",17.28
"964",16.9
"965",17.83
"966",18
"967",18.05
"968",17.38
"969",17.08
"970",16.93
"971",17.1
"972",16.33
"973",16.33
"974",17.53
"975",17.82
"976",17.57
"977",19.55
"978",18.6
"979",18.87
"980",17.43
"981",17.03
"982",15.75
"983",15.58
"984",18.05
"985",18.03
"986",18.37
"987",16.83
"988",15.5
"989",15.5
"990",15.16
"991",NA
"992",NA
"993",NA
"994",NA
"995",15.5
"996",17.25
"997",17.01
"998",16.68
"999",18.22
"1000",17.85
"1001",17.32
"1002",16.36
"1003",17.88
"1004",17.4
"1005",17.5
"1006",16.58
"1007",17
"1008",18
"1009",18.3
"1010",19.5
"1011",20
"1012",19.42
"1013",18.2
"1014",16.99
"1015",16.53
"1016",15.67
"1017",15.58
"1018",15.75
"1019",15.58
"1020",18.1
"1021",16.31
"1022",15.92
"1023",15.43
"1024",15.92
"1025",16.59
"1026",15.5
"1027",15.25
"1028",NA
"1029",16
"1030",17.18
"1031",17.35
"1032",16.73
"1033",17.75
"1034",18.7
"1035",16.73
"1036",17.65
"1037",17
"1038",16.16
"1039",17.58
"1040",17.8
"1041",17.33
"1042",18.77
"1043",17.75
"1044",16.58
"1045",17.63
"1046",16.98
"1047",16.25
"1048",17.38
"1049",16.88
"1050",17.48
"1051",17.55
"1052",17.47
"1053",15.91
"1054",15.91
"1055",16.63
"1056",16.83
"1057",NA
"1058",NA
"1059",16.31
"1060",16.58
"1061",16.91
"1062",17.12
"1063",18.2
"1064",16.1
"1065",15.95
"1066",17.53
"1067",17.38
"1068",15.25
"1069",16.87
"1070",16.45
"1071",18.8
"1072",18.5
"1073",17.01
"1074",15.92
"1075",15.33
"1076",16.25
"1077",16.25
"1078",15.75
"1079",16.9
"1080",15.82
"1081",16.13
"1082",19.89
"1083",19.62
"1084",17.2
"1085",18.13
"1086",17.58
"1087",17.6
"1088",16.21
"1089",16.83
"1090",19.55
"1091",19.4
"1092",19.12
"1093",17.5
"1094",17.5
"1095",17.73
"1096",16.83
"1097",18.02
"1098",17.63
"1099",17.38
"1100",16.6
"1101",18.68
"1102",20
"1103",18.78
"1104",17.78
